model_name,accuracy,top5_accuracy,log_loss,cross_entropy_loss,uncertainty_rejection_auc,f1_score,recall,c_var_risk,roc_auc,entropy,precision
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lrscheduler_sgd,0.6423333333333333,0.9605,1.0539693099459342,1.0539693,0.1699396247291469,0.6396008525419722,0.6423333333333333,1.1092122,0.9350156481481481,0.87252694,0.638564012386329
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr001_sgd,0.67,0.9661666666666666,0.9732085526716807,0.9732085,0.1395107294355888,0.6686016204745547,0.6699999999999999,1.0242094,0.9435720833333334,0.78451514,0.6690352180308168
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr0001_sgd,0.6283333333333333,0.9643333333333334,1.073246562296893,1.0732466,0.17997261847704643,0.6250695076593237,0.6283333333333333,1.1292268,0.9312371296296297,0.9209499,0.6257373186107155
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lrscheduler_sgd,0.6596666666666666,0.9653333333333334,1.0191242942184933,1.0191244,0.15308654766191948,0.6581022644323007,0.6596666666666666,1.0725964,0.940922901234568,0.7617979,0.6621266440658006
vgg_cifar_0.01_adam,0.8218333333333333,0.9866666666666667,0.5900746103636544,0.5900746,0.04324877650083959,0.820208375263855,0.8218333333333334,0.61669534,0.9812713580246915,0.31173554,0.8215158443710975
vgg_cifar_0.01_sgd,0.8401666666666666,0.9921666666666666,0.5519723840944236,0.5519724,0.03551184015542049,0.8386350131589217,0.8401666666666667,0.5804126,0.9857709876543209,0.23777153,0.8397803260107078
vgg_cifar_0.001_adam,0.8528333333333333,0.9921666666666666,0.6193462876703492,0.6199387,0.03085382022992232,0.8521542280586507,0.8528333333333332,0.61994314,0.9867585030864197,0.16497892,0.8522960912105285
vgg_cifar_0.001_sgd,0.7038333333333333,0.9763333333333334,0.8621552357254543,0.86215526,0.11658576975125354,0.7009867377822832,0.7038333333333333,0.9075056,0.9660600925925926,0.62595975,0.744856507653487
vgg_cifar_scheduler_adam,0.8315,0.9886666666666667,0.5966705569021137,0.5975258,0.03721378160638903,0.8307940306809124,0.8314999999999999,0.5975437,0.9835942901234567,0.2561286,0.8331323722499169
vgg_cifar_scheduler_sgd,0.8373333333333334,0.9903333333333333,0.5186993487304005,0.51869935,0.03720296017404115,0.8358072520748843,0.8373333333333333,0.545712,0.9855907407407407,0.29218996,0.837084034968619
